,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
209,Wed Jan 10 21:04:43 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,30
210,Wed Jan 10 20:56:56 +0000 2018,@Shell,0.0,0.746,0.254,DeltaV,0.7783,31
211,Wed Jan 10 20:53:42 +0000 2018,@Shell,0.175,0.732,0.093,Shell,-0.25,32
212,Wed Jan 10 20:45:07 +0000 2018,@Shell,0.109,0.891,0.0,Shell,-0.296,33
213,Wed Jan 10 20:44:23 +0000 2018,@Shell,0.16,0.84,0.0,BP,-0.5859,34
214,Thu Jan 11 02:04:47 +0000 2018,@Shell,0.0,0.859,0.141,Dean Stan Blade 🇨🇦,0.4215,35
215,Thu Jan 11 02:03:08 +0000 2018,@Shell,0.116,0.83,0.054,Bill de Blasio,-0.3578,36
216,Thu Jan 11 01:45:20 +0000 2018,@Shell,0.0,1.0,0.0,KTVU,0.0,37
217,Thu Jan 11 01:44:18 +0000 2018,@Shell,0.0,1.0,0.0,Dallas Goldtooth,0.0,38
218,Thu Jan 11 01:08:26 +0000 2018,@Shell,0.0,0.809,0.191,Shell,0.5423,39
219,Thu Jan 11 01:01:10 +0000 2018,@Shell,0.104,0.896,0.0,Chevron,-0.296,40
220,Wed Jan 10 23:36:44 +0000 2018,@Shell,0.0,1.0,0.0,Kashish Das Shrestha,0.0,41
221,Wed Jan 10 23:16:04 +0000 2018,@Shell,0.0,0.695,0.305,Heriot-Watt IPE,0.7845,42
222,Wed Jan 10 23:13:47 +0000 2018,@Shell,0.136,0.864,0.0,Shell,-0.296,43
223,Wed Jan 10 23:09:27 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,44
224,Wed Jan 10 23:07:27 +0000 2018,@Shell,0.0,0.774,0.226,Atiya Jaffar,0.6739,45
225,Wed Jan 10 22:53:43 +0000 2018,@Shell,0.122,0.878,0.0,Fossil Free Culture,-0.3612,46
226,Wed Jan 10 22:48:00 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,47
227,Wed Jan 10 22:43:42 +0000 2018,@Shell,0.0,0.774,0.226,Atiya Jaffar,0.6739,48
228,Wed Jan 10 22:41:29 +0000 2018,@Shell,0.094,0.726,0.179,Bill de Blasio,0.4588,49
229,Wed Jan 10 22:31:09 +0000 2018,@Shell,0.0,0.774,0.226,Atiya Jaffar,0.6739,50
230,Wed Jan 10 22:24:09 +0000 2018,@Shell,0.0,1.0,0.0,Shell,0.0,51
231,Wed Jan 10 22:23:49 +0000 2018,@Shell,0.0,1.0,0.0,Frank Körver,0.0,52
232,Wed Jan 10 22:11:28 +0000 2018,@Shell,0.0,0.685,0.315,Leonardo DiCaprio,0.8327,53
